Title,Date,Summary
"""Ask Congress Why"": Ex Party Chief In Uttarakhand Joins BJP Before Polls","NDTV News Desk   | Thursday January 27, 2022, New Delhi","A former Uttarakhand Congress chief, expelled by the party yesterday, has joined the BJP days before the February 14 election in the state. Kishore Upadhyay was expelled for ""anti-party activities"", said the Congress."
"Assembly Elections 2022 Live Updates: Manohar Parrikar's Son, Snubbed By BJP, To File Goa Nomination Today","NDTV News Desk   | Thursday January 27, 2022, New Delhi","Former Goa Chief Minister Manohar Parrikar's son Utpal Parrikar, who quit the BJP and announced he would contest the upcoming assembly election as an independent, is set to file his nomination paper from the seat today."
"Akali's Bikram Majithia Safe From Arrest, Court To See Petition On Monday","Edited by Debanish Achom  | Thursday January 27, 2022, New Delhi","Shiromani Akali Dal leader Bikram Singh Majithia who faces a drugs case cannot be arrested till Monday, the Supreme Court has said."
"Krishna Janmabhoomi In BJP's West UP Push, Amit Shah In Mathura Today","Reported by Alok Pandey,Sukirti Dwivedi, Edited by Debanish Achom  | Thursday January 27, 2022, Lucknow","UP assembly election 2022: The BJP's focus today in the Uttar Pradesh campaign is Mathura, one of the three key temple towns after Ayodhya and Varanasi."
"""They'll Fear Stepping Outside Their Homes"": Samajwadi Party Leader's Threats Go Viral","Asian News International   | Thursday January 27, 2022, Meerut","A viral video of Samajwadi Party leader Adil Chaudhary surfaced on social media where he is allegedly heard issuing threats, the BJP has slammed the SP for fielding anti-majority community candidates in the Uttar Pradesh polls."
Suspected Maoists Trigger Explosion On Railway Track In Jharkhand,"Press Trust of India   | Thursday January 27, 2022, Giridih, Jharkhand","A portion of railway tracks in Jharkhand's Giridih district was damaged due to a blast that was triggered by suspected members of banned CPI (Maoist) in the early hours of Thursday, an official said."
"""Half Income, Double Inflation"": Akhilesh Yadav's Dig At Yogi Adityanath","Asian News International   | Thursday January 27, 2022, Lucknow","In an open letter addressed to the public, Samajwadi Party (SP) chief Akhilesh Yadav on Wednesday slammed the Uttar Pradesh government over a range of issues, terming the current phase as ""half income, double inflation""."
Congress Expels Ex-Uttarakhand Party Chief Kishore Upadhyay For 6 Years,"Asian News International   | Thursday January 27, 2022, New Delhi","Congress on Wednesday expelled former Uttarakhand Congress Chief, Kishore Upadhyay for ""anti-party activities""."
India's Positivity Rate Up From 16% To 19.5%; 2.86 Lakh New Cases,"Reported by Parimal Kumar, Edited by Arun Nair  | Thursday January 27, 2022, New Delhi",The daily Covid cases in India saw a marginal increase of 0.1 per cent but the positivity rate remained a concern as it jumped to nearly 20 per cent as the country reported under three lakh cases for the third consecutive day today.
Case Against Google's Sundar Pichai In Mumbai After Filmmaker Complaint,"Reported by Sunil Singh, Edited by Arun Nair  | Thursday January 27, 2022, New Delhi",A case has been registered against Google CEO Sundar Pichai and five others from the tech giant over the alleged copyright infringement of a Bollywood movie on YouTube.
PM Modi To Host First India-Central Asia Summit Today,"Asian News International   | Thursday January 27, 2022, New Delhi","Prime Minister Narendra Modi will on Thursday host the first India-Central Asia Summit to take ties to ""newer heights""."
"Mamata Banerjee Didn't Receive Governor, Violated Protocol: BJP Leader","Asian News International   | Thursday January 27, 2022, Kolkata (West Bengal)","Leader of Opposition in West Bengal Assembly, Suvendu Adhikari on Wednesday slammed Chief Minister Mamata Banerjee for ""protocol violation"" as she did not receive the Governor during his arrival at the Republic Day function and said that the conduct"
