Title,Date,Summary
"""Was Going To Join Congress, Reboot It"": Prashant Kishor On Why He Didn't","
															Edited by Divyanshu Dutta Roy  | Monday January 24, 2022, New Delhi                                                        
                                                        ","Election strategist Prashant Kishor on Monday said that his talks to team up with the Congress fell through after nearly five months of discussions following the West Bengal elections, and although the party remains vital to defeat the BJP on a natio"
"PM Honours 29 Children With Bal Puruskar For Innovation, Bravery, Art","Press Trust of India   | Monday January 24, 2022, New Delhi                                                        
                                                        ","From dancing on broken glasses to negotiating with terrorists, from fighting an alligator to developing innovative measures to help Covid patients, 29 children were conferred the Pradhan Mantri Bal Puraskar for their contributions."
Jailed MP Azam Khan Is Candidate For Akhilesh Yadav's Party In UP,"
															Written by Alok Pandey  | Monday January 24, 2022, Lucknow                                                        
                                                        ","Jailed Samajwadi Party MP Azam Khan will contest the upcoming assembly election in Uttar Pradesh from his home turf Rampur, the Samajwadi Party announced today."
"""I Only Quoted General Bipin Rawat On Pak"": Akhilesh Yadav To NDTV","
															Reported by Saurabh Shukla | Monday January 24, 2022, New Delhi                                                        
                                                        ","Akhilesh Yadav today defended his comment that China is the real enemy while Pakistan is only the ""political enemy"" targeted by the BJP for votes and referenced General Bipin Rawat, the Chief of Defence Staff, who died in a helicopter crash on Dec 8."
Karnataka Infant Among 14 In World With Rare Genetic Disorder BENTA,"Press Trust of India   | Monday January 24, 2022, Bangaluru                                                        
                                                        ","A seven-month-old baby from Bengaluru has been diagnosed with the 'BENTA' disease, an extremely rare primary immunodeficiency disorder, that is said to have affected only 13 others in the world."
"Delhi Positivity Rate Falls To 11.79% From 13%; Cases Down 37% To 5,760","
															Edited by Swati Bhasin  | Monday January 24, 2022, New Delhi                                                        
                                                        ","Delhi saw a significant drop in daily cases with 5,760 fresh infections, 37 per cent lower than yesterday (9,197). The positivity rate fell to 11.79 per cent from 13.3 per cent."
"2 Teens, Stuck Amid Heavy Snowfall During Trekking, Die In Himachal","Press Trust of India   | Monday January 24, 2022, Dharamsala                                                        
                                                        ","Two teenage boys, stuck in heavy snowfall with two others during trekkingin the Dhauladhar mountain range in Himachal's Kangra district, died of hypothermia, police said on Monday."
"Two Secret Tunnels By Pakistan Detected, 6 Intruders Killed In 2021: BSF","Press Trust of India   | Monday January 24, 2022, Jammu                                                        
                                                        ","The Border Security Force (BSF) troops neutralized six intruders and apprehended three while trying to infiltrate through the India-Pakistan border last year, officials said on Monday."
Congress Asks Maharashtra Chief Minister To Stop Release Of Movie 'Why I Killed Gandhi',"Press Trust of India   | Monday January 24, 2022, Mumbai                                                        
                                                        ","The Congress on Monday appealed to Maharashtra Chief Minister Uddhav Thackeray to stop the upcoming telecast of the movie 'Why I killed Gandhi' on January 30, saying it will strengthen racist tendencies."
"In Big Setback, Sikkim's Key Opposition Party Sees Over 40 Exits In A Day","
															Written by Ratnadip Choudhury  | Monday January 24, 2022, Gangtok                                                        
                                                        ","In a major setback to the Sikkim Democratic Front (SDF), the key opposition party in the northeastern state, and its head and former Chief Minister Pawan Kumar Chamling, 42 party leaders, including Vice President Ganesh Rai, today submitted their res"
BJP Failed To Keep Poll Promises: Bengal Actor Bonny Sengupta Quits Party,"Press Trust of India   | Monday January 24, 2022, Kolkata                                                        
                                                        ","Bengali actor Bonny Sengupta, who had joined the BJP ahead of the Assembly polls last year, today said he is quitting the party as it failed to keep the promises of development of the state and the film industry."
"Sonia Gandhi, Manmohan Singh Among Congress Star Campaigners For UP Polls","Asian News International   | Monday January 24, 2022, New Delhi                                                        
                                                        ",The Congress party on Monday released a list of 30-star campaigners for the first phase of the Uttar Pradesh assembly elections.
"Prashant Kishor To NDTV: Possible To Defeat BJP In 2024, But...","
															Edited by Divyanshu Dutta Roy  | Monday January 24, 2022, New Delhi                                                        
                                                        ","Election strategist Prashant Kishor on Monday said he wanted to help form an opposition front that could defeat the BJP in 2024 and that it was ""entirely possible"" even if results of next month's state polls - seen as a semi-final of sorts for the ge"
Granite Slabs To Help Raise Ayodhya Ram Temple Floor. See Pics,"
															Edited by Sumana Nandy  | Monday January 24, 2022, New Delhi                                                        
                                                        ",Work at the Ram Temple in Ayodhya is underway in full swing as workers today began placing blocks of granite on the raft built at the temple site.
"Pak PM Lobbied For ""Old Friend"" Navjot Sidhu: Amarinder Singh's Shocker","
															Reported by Mohammed Ghazali, Edited by Anindita Sanyal  | Monday January 24, 2022, Chandigarh                                                        
                                                        ","Punjab's former Chief Minister Amarinder Singh's seat sharing announcement with the BJP today was accompanied by a shocker -- one about his arch-rival Navjot Sidhu and his old cricketing buddy, Pakistan Prime Minister Imran Khan."
