Title,Date,Summary
"Madhya Pradesh Governor Talks Of PM Modi's ""Unique Gift"" To The World","Press Trust of India   | Wednesday January 26, 2022, Bhopal","Madhya Pradesh Governor Mangubhai Patel on Wednesday said that Prime Minister Narendra Modi has given the most effective weapon to the world in its war against COVID-19 in the form of a unique gift called ""Mangal (well-being) teeka"" ."
"Violent Protests In Bihar Over Railways Exam, Aspirants Set Train On Fire","Edited by Akhil Kumar  | Wednesday January 26, 2022, Patna","The issue was highlighted when the results were declared on January 15. At that time, the Ministry of Railways issued a clarification in which it said that the second stage exam was clearly mentioned in the notification."
"From Bengal, Snub To Government Over Padma Awards, 3 Refuse Honour","Edited by Anindita Sanyal  | Wednesday January 26, 2022, New Delhi",All three people from Bengal on the BJP-led government's honour list have refused the Padma awards -- a situation deeply embarrassing in a state where the BJP suffered a stunning electoral defeat last year.
"On Netaji's 125th Anniversary, A Republic Day Tableau Tribute","Press Trust of India   | Wednesday January 26, 2022, New Delhi","In a floral tribute to Subhas Chandra Bose on his 125th birth anniversary, the CPWD's tableau depicted Netaji and warriors of the Indian National Army during the Republic Day parade on Wednesday."
10 Highlights Of 73rd Republic Day Parade,"Reported by Vishnu Som | Wednesday January 26, 2022","The 73rd Republic Day celebrations at Rajpath started with an iconic parade and concluded with a stellar flypast by 75 aircraft, with all the colours and cultures of India on display. Owing to the pandemic, an audience of only 5,000 was allowed"
"Virat, Elite Horse Of President's Guard, Retires; Gets Pat From President, PM","Press Trust of India   | Wednesday January 26, 2022, New Delhi","Virat, the President's Bodyguard Commandant's black horse, retired from his years-long service after the 73rd Republic Day parade today."
9-Year-Old Awarded PM Bal Puraskar For Scaling Mount Kilimanjaro,"Asian News International   | Wednesday January 26, 2022, Hyderabad",Nine-year-old Virat Chandra Telukunta from Hyderabad was awarded Prime Minister Bal Puraskar in Sports for scaling Mount Kilimanjaro.
"China, In R-Day Hotline, ""Responded Positively"" On Missing Teen: Minister","Edited by Akhil Kumar  | Wednesday January 26, 2022, New Delhi",Union Law Minister Kiren Rijiju today said that a hotline was exchanged between the Indian Army and China's People's Liberation Army (PLA) on Republic Day regarding the Arunachal Pradesh teenager who was reportedly kidnapped by the PLA a week ago.
26/11 Attacks Epitomise Scope Of Urban Warfare Against Terrorists: India At UN,"Press Trust of India   | Wednesday January 26, 2022, United Nations","The 26/11 Mumbai terror attacks epitomise the sheer scale and scope of urban warfare that India had to mount against jihadi terrorists, the country's envoy to the UN has said."
"BSF, Pakistan Army Exchange Sweets At Attari-Wagah Border On 73rd Republic Day","Asian News International   | Wednesday January 26, 2022, Amritsar","In a goodwill gesture, Border Security Force (BSF) and Pakistan Army exchanged sweets and greetings at the Attari-Wagah border on India's 73rd Republic Day on Wednesday."
"Kerala Minister Unfurls National Flag Upside Down, Salutes It; BJP Demands Resignation","Press Trust of India   | Wednesday January 26, 2022, Kasaragod, Kerala","A Kerala minister unfurled the national flag upside down in Kasaragod district, during the Republic Day celebrations today, triggering a political controversy as the opposition BJP demanded his resignation for showing disrespect to the national flag."
"Ghulam Nabi Azad's Padma Award Reignites Congress-""G-23 Rebels"" Spat","Reported by Sunil Prabhu, Edited by Deepshikha Ghosh  | Wednesday January 26, 2022, New Delhi","The Padma Bhushan for Congress leader Ghulam Nabi Azad has once again spotlighted the sharp divide within the party, with leaders of the ""G-23"" or group of 23 ""rebels"" and Gandhi family supporters sparring openly."
